NIRF_Rank,Name,Faculty,Expenditure,Graduates,Scopus,Rfunding,theta,eff_rank,student/scopus
18,IIT BHUBANESWAR,129,73.942144,197,252.3333333,103.649768,0.695316988,35,0.780713342
28,IIT MANDI,106,60.9981794,121,141,3.445449,0.472836695,14,0.858156028
14,IIT INDORE,116,82.750275,162,186.6666667,105.918741,0.5769584,23,0.867857143
2,IIT BOMBAY,528,483.8131638,1257,1254.666667,817.35,0.863626925,42,1.001859723
1,IIT Madras,607,697.2667947,1384,1261.666667,2801.764,1,48,1.096961691
7,IIT GUWAHATI,401,366.0904798,798,719.6666667,413.700979,0.644239361,29,1.108846688
3,IIT DELHI,481,517.2250887,1384,1246,1294.434849,1,48,1.110754414
22,"IIT, RUPNAGAR",115,53.2923411,137,115.6666667,88.773181,0.372353427,4,1.18443804
9,IIT HYDERABAD,183,103.7492574,344,287,438.69909,0.671534315,34,1.198606272
4,IIT KHARAGPUR,644,419.5802677,1956,1436,807.436755,0.79880544,38,1.362116992
5,IIT KANPUR,418,280.7735,1207,866.3333333,1793.371464,1,48,1.393228165
30,"IIEST,HOWRAH",254,125.683926,582,416.6666667,148.975248,0.583113327,24,1.3968
24,IIT PATNA,110,63.7335875,253,170.3333333,150.366397,0.597356142,27,1.485322897
12,JADAVPUR UNIVERSITY,323,113.7327209,1372,908.6666667,467.728089,1,48,1.509904622
27,IIT GANDHINAGAR,66,88.0219,155,94.66666667,154.473745,0.665123795,32,1.637323944
38,"IIIT,HYDERABAD",85,50.5033635,294,175.3333333,96.839557,0.767772016,37,1.676806084
6,IIT ROORKEE,423,220.45375,1720,1015.333333,796.990482,0.945729669,45,1.694024951
10,"INSTITUTE OF CHEMICAL TECHNOLOGY, MUMBAI",116,66.8852926,370,212.6666667,381.383153,0.895954469,44,1.739811912
32,"Jamia Millia Islamia, New Delhi",102,27.0280163,406,233,73.507017,0.845209047,41,1.74248927
35,"Aligarh Muslim University, Aligarh",217,51.975281,512,268.3333333,32.365974,0.470334014,13,1.908074534
15,NIT ROURKELA,299,142.5063532,1272,659.6666667,216.152159,0.841942291,40,1.928246589
23,IISST THIRUVANATHAPURAM,101,78.5955111,230,99,15.768823,0.398264492,6,2.323232323
43,NIT Kurukshetra,282,94.8498,945,365.3333333,69.207298,0.547714121,21,2.586678832
11,NIT Tiruchirappalli,346,151.5184936,1233,453.6666667,127.676639,0.566851863,22,2.717854519
8,ANNA UNIVERSITY,903,213.1224089,3043,1078,927.006369,0.594789717,26,2.822820037
13,IIT DHANBAD,340,225.2577467,1523,526.6666667,371.566226,0.751556776,36,2.891772152
20,"THAPAR, PATAILA",444,174.087,1318,444,101.958186,0.447971561,11,2.968468468
19,"IIT,VARANASI",316,234.8186904,1169,383.3333333,204.969371,0.584179184,25,3.049565218
26,BIT RANCHI,283,102.0443137,791,252.6666667,66.274176,0.414176814,9,3.13060686
21,"NIT, SURATHKAL",302,104.748,1352,393.3333333,149.557303,0.665296326,33,3.437288136
47,NIT Durgapur,179,108.2213884,1307,372.6666667,38.628151,1,48,3.507155635
45,"College of Engg, Pune",253,94.5667568,1125,299,98.004007,0.645785341,30,3.762541806
25,NIT WARANGAL,309,166.3711598,1087,279.6666667,115.848884,0.520732475,18,3.886769964
36," Sri Sivasubramaniya Nadar College of Engineering, Kancheepuram",273,91.7482493,1031,239,42.02162,0.523300478,19,4.313807531
31,"Visvesvaraya National Institute of Technology, Nagpur",234,121.3802553,1009,228.6666667,506.417176,0.883356009,43,4.412536443
42,"JNT University, Hyderabad",414,351.9382425,1793,380.3333333,234.873573,0.65630021,31,4.714285715
48,"MNNIT, Allahabad",215,96.8246414,1284,266.3333333,56.295501,0.830175394,39,4.821026283
50,NIT Calicut,310,101.8632719,1133,228,33.935611,0.500756609,17,4.969298246
41,DTU,437,111.7269617,1744,332.6666667,45.872248,0.546565842,20,5.242484969
34,AMITY UNIVERSITY,950,188.4839158,2224,423.6666667,90.718073,0.324400027,2,5.249409913
49,KLEF University Vaddeswaram,1094,152.2212766,2018,379,71.829375,0.254229502,1,5.324538259
17,BITS PILANI,493,365.2141116,2209,408.3333333,59.946548,0.613657773,28,5.409795919
40,"Thiagarajar College of Engineering, Madurai",297,45.950891,937,166.6666667,100.562739,0.467349617,12,5.621999999
37,"Sathyabama Institute of Science and Technology, Chennai",724,139.2665,1719,293,163.445392,0.347540304,3,5.866894198
46,"SRM, Chennai",1472,312.8327802,4440,739,110.300234,0.413097535,7,6.00811908
16,"VIT,VELLORE",1650,547.4985451,5887,956,136.835375,0.488638334,16,6.157949791
29,PSG COLLEGE OF TECHNOLOGY,525,103.5251,1459,172.6666667,162.209452,0.413215159,8,8.449806948
33,"Shanmugha Arts Science Technology & Research Academy, Thanjavur",635,112.0737043,2102,213.3333333,185.66254,0.481322191,15,9.853125002
39,Manipal Institute of Technology,664,165.0431099,2010,180.3333333,35.667163,0.414577207,10,11.14602588
44,"NIIE, Mumbai",59,38.5098307,164,14.66666667,6.315559,0.384266533,5,11.18181818
,,,,,,,,,
,,,,,,,,,
,Spearman's Correlation,,,,,,,,
,-0.481912138,,,,,,,,
